Standardized 2D Ultrasound Sequences for Fetal Cardiac Screening: A Platform for AI Integration.	10.1111/echo.70422
Edge-Aware Diffusion Segmentation Model With Hessian Priors for Automated Diaphragm Thickness Measurement in Ultrasound Imaging.	10.1109/JBHI.2025.3601567
Novel silicon-based material decomposition images in diagnosis of pancreatic ductal adenocarcinoma: comparison with iodine-based and 50-keV virtual monoenergetic images.	10.1007/s11604-025-01856-9
Bridging the clinical gap: Confidence informed IDH prediction in brain gliomas using MRI and deep learning.	10.1093/noajnl/vdaf142
A multi-data fusion deep learning model for prognostic prediction in upper tract urothelial carcinoma.	10.3389/fonc.2025.1644250
Evaluation of quantum contouring algorithms for treatment planning on MR abdominal images.	10.3389/fonc.2025.1553539
Machine learning-based quantification of overall and internal ultrasound characteristics for diagnosing malignant partially cystic thyroid nodules.	10.3389/fendo.2025.1635122
Enhancing Early Keratoconus Detection With Multimodal Machine Learning: Integrating Tomography, Biomechanics, and Clinical Risk Factors.	10.1016/j.ajo.2025.08.035
DCE-UNet: a transformer-based fully automated segmentation network for multiple adolescent spinal disorders in x-ray images.	10.1088/2057-1976/adfde9
VariMix: A variety-guided data mixing framework for explainable medical image classifications.	10.1016/j.cmpb.2025.109016
Prognostic prediction for locally advanced hypopharyngeal cancer treated with postoperative chemoradiotherapy based on dosiomics and radiomics: a small-sample modeling strategy.	10.1016/j.apradiso.2025.112100
Multi-task deep learning for predicting metabolic syndrome from retinal fundus images in a Japanese health checkup dataset.	10.1371/journal.pone.0325337
Voxel-Wise or Region-Wise Nuisance Regression for Functional Connectivity Analyses: Does It Matter?	10.1002/hbm.70323
Detection of neonatal pneumoperitoneum on radiographs using deep multi-task learning.	10.1016/j.compbiomed.2025.110945
Automatic margin line extraction using 3D deep learning on digital surface models of prepared teeth for crown generation.	10.1016/j.compbiomed.2025.110960
Artificial intelligence in advancing optical coherence tomography for disease detection and cancer diagnosis: A scoping review.	10.1016/j.ejso.2025.110188
A novel approach to calculating expected total fetal lung volume in fetuses with isolated congenital diaphragmatic hernia and fetal growth restriction: a theoretical computational simulation.	10.1515/jpm-2024-0584
Diversity-Enhanced Collaborative Mamba for Semi-Supervised Medical Image Segmentation.	10.1109/TMI.2025.3601450
Combined use of two artificial intelligence-based algorithms for mammography triaging: a retrospective simulation study.	10.1007/s00330-025-11849-x
Random Walk-Based Node Feature Learning for Major Depressive Disorder Identification Through Multi-Site rs-fMRI Data.	10.1002/hbm.70326
Cognitive outcomes of deep brain stimulation depend on age and hippocampal connectivity in Parkinson's and Alzheimer's disease.	10.1002/alz.70498
Enhancing knee MRI bone marrow lesion detection with artificial intelligence: An external validation study.	10.1016/j.redii.2025.100063
Hybrid deep learning enables multi-institutional delineation of active bone marrow for gynecologic radiotherapy.	10.1016/j.phro.2025.100823
A comprehensive deep learning approach to improve enchondroma detection on X-ray images.	10.1038/s41598-025-07978-4
A dataset of primary nasopharyngeal carcinoma MRI with multi-modalities segmentation.	10.1038/s41597-025-05815-x
Automatically predicting lung tumor invasiveness using deep neural networks.	10.1016/j.medengphy.2025.104385
A 3D multi-modal multi-scale end-to-end classifier for Alzheimer's disease diagnosis.	10.1016/j.medengphy.2025.104382
Enhancing cardiac function assessment: Developing and validating a domain adaptive framework for automating the segmentation of echocardiogram videos.	10.1016/j.compmedimag.2025.102627
DB-SNet: A dual branch network for aortic component segmentation and lesion localization.	10.1016/j.compmedimag.2025.102592
Establishing a clinical prediction model of neurosyphilis via a lumbar-puncture-free nomogram.	10.1016/j.cellimm.2025.105012
A state-of-the-art new method for diagnosing atrial septal defects with origami technique augmented dataset and a column-based statistical feature extractor.	10.1016/j.compbiomed.2025.110967
Development a computer-aided diagnosis system for dental caries detection applying radiographic images.	10.1016/j.compbiomed.2025.110966
Interpreting convolutional neural network explainability for head-and-neck cancer radiotherapy organ-at-risk segmentation.	10.1016/j.compbiomed.2025.110925
Quality assessment of optical coherence tomography angiography images with Relative-distance-based Patch Distribution Modeling (R-PaDiM).	10.1016/j.cmpb.2025.108955
Diagnostic performance of artificial intelligence in detecting and subtyping pediatric medulloblastoma from histopathological images: A systematic review.	10.1016/j.artmed.2025.103237
FedVGM: Enhancing Federated Learning Performance on Multi-Dataset Medical Images With XAI.	10.1109/JBHI.2025.3600361
S <math xmlns="http://www.w3.org/1998/Math/MathML"><mmultiscripts><mrow></mrow> <mrow></mrow> <mn>3</mn></mmultiscripts> </math> TU-Net: Structured convolution and superpixel transformer for lung nodule segmentation.	10.1007/s11517-025-03425-8
Characterizing the Impact of Training Data on Generalizability: Application in Deep Learning to Estimate Lung Nodule Malignancy Risk.	10.1148/ryai.240636
Fair Text to Medical Image Diffusion Model with Subgroup Distribution Aligned Tuning.	10.1117/12.3046450
A machine learning algorithm for automatic tumour board recommendations in prostate cancer patients.	10.1002/bco2.70066
[A novel integrated model combining CT body composition and inflammation-nutrition indices for predicting the complications of obstructive colorectal cancer patients].	10.3760/cma.j.cn112139-20250324-00152
A fully automatic knee subregion segmentation network based on tissue segmentation and anatomical geometry.	10.1038/s41598-025-16241-9
Comparative performance of deep learning architectures for diabetic peripheral neuropathy detection using corneal confocal microscopy: a retrospective single-centre study.	10.1136/bmjopen-2024-095342
Toward autonomous robotic gastroscopy with a novel interventional keypoint and polyp detection system.	10.1016/j.cmpb.2025.109013
Lightweight wavelet convolutional network for guidewire segmentation.	10.1016/j.compmedimag.2025.102618
Machine learning pipeline with custom grid search for colorectal Raman spectroscopy data.	10.1016/j.saa.2025.126749
HEE-SegGAN: A holistically-nested edge enhanced GAN for pulmonary nodule segmentation.	10.1371/journal.pone.0328629
Neovascularization Segmentation via a Multilateral Interaction-Enhanced Graph Convolutional Network.	10.1109/TPAMI.2025.3600335
MinD-3D++: Advancing fMRI-Based 3D Reconstruction With High-Quality Textured Mesh Generation and a Comprehensive Dataset.	10.1109/TPAMI.2025.3599860
Advanced liver fibrosis detection using a two-stage deep learning approach on standard T2-weighted MRI.	10.1007/s00261-025-05160-y
AI Should Read Mammograms Only When Confident: A Hybrid Breast Cancer Screening Reading Strategy.	10.1148/radiol.242594
Lunate extract: fully automatic acetabular lunate segmentation and hip angle measurements.	10.1177/02841851251359649
Advancing deep learning-based segmentation for multiple lung cancer lesions in real-world multicenter CT scans.	10.1186/s41747-025-00617-7
Skin region images extracted from 3D total body photographs for lesion detection.	10.1038/s41597-025-05483-x
Single-View Echocardiographic Analysis for Left Ventricular Outflow Tract Obstruction Prediction in Hypertrophic Cardiomyopathy: A Deep Learning Approach.	10.1016/j.echo.2025.08.008
Weighted loss for imbalanced glaucoma detection: Insights from visual explanations.	10.1016/j.compbiomed.2025.110875
A systematic approach to study the effects of acquisition parameters and biological factors on computerized mammography analysis using ex vivo human tissue: A protocol description.	10.1371/journal.pone.0321658
SynthAorta: A 3D Mesh Dataset of Parametrized Physiological Healthy Aortas.	10.1109/TMI.2025.3599937
Predicting the therapeutic efficacy of uterine artery embolization for adenomyosis using a combined model based on MRI radiomics and clinical characteristics.	10.1007/s00261-025-05176-4
Time series-derived fractal dimension of CT perfusion in acute ischemic stroke: a promising marker for hypoperfused tissue quantification.	10.1007/s11548-025-03500-3
Machine learning driven diagnostic pathway for clinically significant prostate cancer: the role of micro-ultrasound.	10.1007/s00345-025-05797-w
Inflammatory bowel disease does not confer higher disease activity or greater radiographic progression in axial spondyloarthritis.	10.1093/rheumatology/keaf420
Automated Protocol Suggestions for Cranial MRI Examinations Using Locally Fine-tuned BERT Models.	10.1007/s00062-025-01554-z
PET-based radiomic analysis in multicentre lung cancer study and impact of feature domain harmonization.	10.1007/s13246-025-01625-y
Distinguishing atypical parotid carcinomas and pleomorphic adenomas based on multiphasic computed tomography radiomics nomogram: a multicenter study.	10.3389/fonc.2025.1625487
High efficiency classification of thyroid cytopathological images based on knowledge distillation and vision transformer.	10.1038/s41598-025-15728-9
Point-of-Care Ultrasound Imaging for Automated Detection of Abdominal Haemorrhage: A Systematic Review.	10.1016/j.ultrasmedbio.2025.07.024
Multimodal data fusion with irregular PSA kinetics for automated prostate cancer grading.	10.1016/j.compmedimag.2025.102625
Exploring the robustness of TractOracle methods in RL-based tractography.	10.1016/j.media.2025.103743
A novel network for resolving subjective masking differences and accurate thyroid nodule diagnosis.	10.1016/j.compbiolchem.2025.108572
Improving skull-stripping for infant MRI via weakly supervised domain adaptation using adversarial learning.	10.1016/j.compbiomed.2025.110903
Breast cancer dose distribution prediction based on deep joint learning.	10.1016/j.apradiso.2025.112083
ShQDFHNet: Shepard quantum dilated forward harmonic net for brain tumour detection using MRI image.	10.1080/13813455.2025.2541700
High-Density EEG Source Localisation of averaged interictal epileptic Discharges validated by surgical Outcome.	10.1038/s41597-025-05740-z
TN5000: An Ultrasound Image Dataset for Thyroid Nodule Detection and Classification.	10.1038/s41597-025-05757-4
Optimization enabled ResNet features with transfer learning for Alzheimer's disease detection.	10.1016/j.compbiolchem.2025.108613
Spatio-temporal deep learning with temporal attention for indeterminate lung nodule classification.	10.1016/j.compbiomed.2025.110813
A new era in colorectal cancer: Artificial Intelligence at the forefront.	10.1016/j.compbiomed.2025.110926
Large-scale convolutional neural network for clinical target and multi-organ segmentation in gynecologic brachytherapy via multi-stage learning.	10.1002/mp.18067
Predicting the quality of digital mammography from the perspective of detectability of microcalcifications: A Radiomics approach.	10.1002/mp.18061
High sensitivity in spontaneous intracranial hemorrhage detection from emergency head CT scans using ensemble-learning approach.	10.1038/s41598-025-15835-7
Fine-Tuned Large Language Model for Extracting Pretreatment Pancreatic Cancer According to Computed Tomography Radiology Reports.	10.1007/s10278-025-01637-w
A novel interpreted deep network for Alzheimer's disease prediction based on inverted self attention and vision transformer.	10.1038/s41598-025-15007-7
End-to-end deep learning for the diagnosis of pelvic and sacral tumors using non-enhanced MRI: a multi-center study.	10.1038/s41698-025-01077-3
